Product URL,Product Name,Product Price,Rating,Number of Reviews
/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,₹843,3.6 out of 5 stars,931
/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",₹599,4.0 out of 5 stars,"1,452"
/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P,"TABELITO Casual Laptop Backpack 15.6-inch, 25 LTR Water Repellent",₹549,4.0 out of 5 stars,681
/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),₹549,3.9 out of 5 stars,"7,666"
/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BS6YGKMC,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,₹499,3.9 out of 5 stars,37
/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",₹680,3.6 out of 5 stars,184
/Wildcraft-Black-Backpack-WC-Dare/dp/B06XD713N9,Wildcraft Polyester 35 Ltrs Black and Mel Backpack (WC 5 Dare),"₹1,635",4.4 out of 5 stars,"1,702"
/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF,"URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",₹939,3.9 out of 5 stars,784
/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",₹598,4.3 out of 5 stars,"11,859"
/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5,"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",₹599,3.8 out of 5 stars,901
/Ritzy-Waterproof-Hi-Quality-External-Resistant/dp/B09Q172X7J,"Walkent Stylish 15.6"" Laptop Bag (Model Ritzy) Hi-Quality PU, Waterproof, Anti Theft, External USB, Scratch Resistant for Office College Men Women","₹2,809",4.2 out of 5 stars,121
/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67,Half Moon Valex Unisex School Bag/Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men & Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,₹649,3.6 out of 5 stars,67
/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,₹499,4.0 out of 5 stars,"4,026"
/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H,"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)","₹1,099",4.2 out of 5 stars,"1,411"
/Gear-Polyester-Travel-Duffle-DUFCRSTNG0406/dp/B075MMWRW6,Gear Cross Training 22L Water Resistant Travel Duffle Bag/Gym Bag for Men/Women - Grey Orange,₹468,4.1 out of 5 stars,"16,594"
/gp/bestsellers/luggage/2917442031/ref=sr_bs_2_2917442031_1,DEIN KLEIDER Men's Nylon Messenger Bag,₹349,4.0 out of 5 stars,"5,146"
/FUR-JADEN-Backpack-Accessories-Organiser/dp/B0BSHBH9K2,"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","₹1,329",4.1 out of 5 stars,563
/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹929,3.8 out of 5 stars,859
/COSMUS-Multipurpose-Backpack-Bag-compartment/dp/B078JVT384,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","₹1,375",4.2 out of 5 stars,"2,266"
/Hammonds-Flycatcher-Leather-Messenger-LB190BRN/dp/B083M1QK32,HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,"₹5,255",4.4 out of 5 stars,571
/Safari-Sheild-Resistant-Casual-Backpack/dp/B09B26T7KQ,Safari Sheild 26 Ltrs Water Resistant Casual Backpack - (SHEILD19CBBLK),₹699,3.9 out of 5 stars,"1,106"
/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,₹979,4.4 out of 5 stars,"2,487"
/PAZZO-Alto-40L-Casual-Backpack/dp/B07VT3F795,"PAZZO Alto 40L Casual Backpack - 3 Compartment Travel Backpack, College|School Bag with 1 Year Warranty",₹849,4.0 out of 5 stars,"1,768"
/Storite-Travel-Bag-Lightweight-GreenPink/dp/B0B3JBYZ8C,"Storite Nylon 46 Cm Imported Multi Purpose Travel Duffle Bag for Women with Dry and Wet Separate Pocket, Lightweight Waterproof Backpack Carry Luggage Bag with Shoe Compartment (GreenPink, 46x23x25 cm)","₹1,399",4.2 out of 5 stars,345
/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WNFN1XS,Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,₹799,4.0 out of 5 stars,"13,547"
/Genie-compartments-Lightweight-Travelling-Purpose-36/dp/B097JHSJTL,"Genie Lily Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.36 litres (19 inch) Black colour",₹899,5.0 out of 5 stars,1
